"Recommendation","ValidationString"
"1.1.2","[ValidateRange(60,999)]"
"1.1.3","[ValidateRange(1,998)]"
"1.2.1","[ValidateRange(15,99999)]"
"1.2.2","[ValidateRange(10,999)]"
"1.2.3","[ValidateRange(15,99999)]"
"18.2.5","[ValidateRange(15,64)]"
"18.2.6","[ValidateRange(30,365)]"
"18.4.10","[ValidateRange(0,5)]"
"18.4.13","[ValidateRange(0,90)]"
"18.9.102.1.2","[ValidateRange(180,365)]"
"18.9.26.1.2","[ValidateRange(32768,2147483647)]"
"18.9.26.2.2","[ValidateRange(196608,2147483647)]"
"18.9.26.3.2","[ValidateRange(32768,2147483647)]"
"18.9.26.4.2","[ValidateRange(32768,2147483647)]"
"18.9.59.3.10.1","[ValidateRange(60000,900000)]"
"2.3.1.5","[ValidateLength(1,256)]"
"2.3.1.6","[ValidateLength(1,256)]"
"2.3.6.5","[ValidateRange(1,30)]"
"2.3.7.3","[ValidateRange(1,10)]"
"2.3.7.4","[ValidateLength(1,900)]"
"2.3.7.5","[ValidateLength(1,2048)]"
"2.3.7.6","[ValidateLength(1,512)]"
"2.3.7.7","[ValidateSet('0','1','2','3','4')]"
"2.3.7.8","[ValidateLength(5,14)]"
"2.3.9.1","[ValidateLength(1,15)]"
"9.1.6","[ValidateRange(16384,2147483647)]"
"9.2.6","[ValidateRange(16384,2147483647)]"
"9.3.8","[ValidateRange(16384,2147483647)]"